종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"250060","모비스","KOSDAQ","기술성장기업부","기술성장기업","106201","컴퓨터 프로그래밍, 시스템 통합 및 관리업","12",,"32171314","100","3217131400","원(KRW)","김지헌","02-3771-3423","경기도 성남시 분당구 판교로 253 이노밸리C동 2층 203호"
"288980","모아데이타","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"5361072","500","2680536000","원(KRW)","한상진","070-4099-5131","경기도 성남시 수정구 창업로 42 (시흥동, 판교제2테크노밸리경기기업성장센터) 제222, 223호 &nbsp"
"033200","모아텍","KOSDAQ","중견기업부",,"032602","전자부품 제조업","03",,"14331185","500","7665592500","원(KRW)","이제희","032-810-9000","인천광역시 남동구  인주대로 698 (주)모아텍 "
"118990","모트렉스","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"41271175","100","4127117500","원(KRW)","이형환","070-4862-6100","경기도 성남시 분당구 황새울로258번길 25 서영빌딩 12층 "
"006920","모헨즈","KOSDAQ","중견기업부",,"032303","시멘트, 석회, 플라스터 및 그 제품 제조업","12",,"10920000","500","5460000000","원(KRW)","이기명","02  -571 -3011","충남 충남시 풍세면 남관리 195 "
"001810","무림SP","KOSDAQ","우량기업부",,"031701","펄프, 종이 및 판지 제조업","12",,"22137500","500","11068750000","원(KRW)","이도균","02  -3485-1603","서울특별시 강남구  강남대로 656 (신사동) "
"279600","미디어젠","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"4684781","500","2342390500","원(KRW)","고훈","02-6429-7171","경기도 성남시 분당구 성남대로331번길 8 킨스타워(정자동) 11층 1103호실 "
"095500","미래나노텍","KOSDAQ","우량기업부",,"032202","플라스틱제품 제조업","12",,"31009999","500","15504999500","원(KRW)","김철영","043-710-1100","충청북도 청원군  옥산면 과학산업1로 16 미래나노텍(주)"
"218150","미래생명자원","KOSDAQ","벤처기업부",,"031008","동물용 사료 및 조제식품 제조업","12",,"19761661","100","1976166100","원(KRW)","김성진","02-2203-7397","서울특별시 송파구 법원로9길 26 D동 506 ~ 512호(문정동, H business PARK)"
"353490","미래에셋대우스팩 5호","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5060000","100","506000000","원(KRW)","김영도","02-3774-7312","서울특별시 중구 을지로5길 26 미래에셋 센터원(Mirae Asset CENTER1) "
"328380","미래에셋대우스팩3호","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"6482000","100","648200000","원(KRW)","이경하","02-3774-8388","서울특별시 중구 을지로5길 26(수하동, 미래에셋 센터원빌딩 이스트타워) &nbsp;"
"100790","미래에셋벤처투자","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"48480361","1000","48980361000","원(KRW)","김응석","070-4800-2104","경기도 성남시 분당구 판교역로241번길 20 "
"412930","미래에셋비전스팩1호","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"6176000","100","617600000","원(KRW)","김필수","02-3774-3762","서울특별시 중구 을지로5길 26 (미래에셋센터원빌딩 이스트빌딩) "
"049950","미래컴퍼니","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"8586820","500","4293410000","원(KRW)","김준구","(031)350-9801","경기도 화성시  양감면 정문송산로 69-12 "
"207760","미스터블루","KOSDAQ","중견기업부",,"106309","기타 정보 서비스업","12",,"24761635","100","2476163500","원(KRW)","조승진","02-337-0610","서울특별시 마포구 월드컵북로6길 18 (동교동, 미스터블루빌딩)"
"059090","미코","KOSDAQ","우량기업부",,"032601","반도체 제조업","12",,"33416778","500","16708389000","원(KRW)","이석윤","031-610-7967","경기도 안성시 대덕면 모산로 53 - "
"214610","미코바이오메드","KOSDAQ","기술성장기업부","기술성장기업","032701","의료용 기기 제조업","12",,"18296767","500","9148383500","원(KRW)","김성우","070-5227-6000","경기도 성남시 수정구 창업로 54 가동 3층, 4층 "
"201490","미투온","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"31257770","500","15628885000","원(KRW)","손창욱","02-515-2864","서울특별시 강남구 학동로 343 더피나클강남 6층 "
"950190","미투젠","KOSDAQ","외국기업(소속부없음)",,"105802","소프트웨어 개발 및 공급업","12",,"13579892","무액면","0","미국달러(USD)","손창욱 (대표이사)","02-6004-3329","Flat A,31/F, Montery Plaza, 15 Chong Yip Street, Kowloon, Hongkong "
"214180","민앤지","KOSDAQ","우량기업부",,"106309","기타 정보 서비스업","12",,"13257185","500","6788592500","원(KRW)","이현철","02-929-4463","서울특별시 강남구 테헤란로34길 6 태광타워 13층 "
"206640","바디텍메드","KOSDAQ","우량기업부",,"032103","의료용품 및 기타 의약 관련제품 제조업","12",,"23486560","1000","23486560000","원(KRW)","최의열","033-243-1400","강원도 춘천시 동내면 거두단지1길 43 -"
"018700","바른손","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"35119757","1000","35119757000","원(KRW)","강신범, 안은미, 박성진","031-727-9712","경기도 수원시 영통구 대학3로 1 5층 (이의동, 광교K타워)"
"035620","바른손이앤에이","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"74439675","500","37219837500","원(KRW)","박진홍, 곽신애(각자대표)","070-7609-1429","서울특별시 용산구 한남대로 130 볼보빌딩 3층 "
"064520","바른전자","KOSDAQ","관리종목(소속부없음)",,"032601","반도체 제조업","12",,"8368647","500","4184323500","원(KRW)","조대성(단독 대표이사)","031-8020-6000","경기도 화성시  동탄면 경기동로 548 "
"053030","바이넥스","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"31761048","500","15880524000","원(KRW)","이혁종","(051)261-6611","부산광역시 사하구 다대로 368-3 "
"301300","바이브컴퍼니","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"5580180","500","2790090000","원(KRW)","이재용","02-565-0531","서울특별시 용산구 독서당로 97 (한남동) "
"064550","바이오니아","KOSDAQ","기술성장기업부","기술성장기업","032103","의료용품 및 기타 의약 관련제품 제조업","12",,"25810291","500","12905145500","원(KRW)","박한오","042-936-8500","대전광역시 대덕구  문평서로 8-11 (주)바이오니아 "
"314930","바이오다인","KOSDAQ","기술성장기업부","이익미실현기업","032701","의료용 기기 제조업","12",,"6168195","500","3084097500","원(KRW)","임욱빈","070-4185-8605","서울특별시 성동구 아차산로5길 24-4 "
"208710","바이오로그디바이스","KOSDAQ","벤처기업부",,"032602","전자부품 제조업","12",,"41431412","100","4143141200","원(KRW)","황  훈","031-831-3696","경기도 용인시 기흥구 기흥로 58-1 제A동 1805호 (구갈동, 기흥ICT밸리SKV1)"
"142760","바이오리더스","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"31448597","500","15724298500","원(KRW)","박영철","031-280-9650","경기도 용인시 수지구 신수로 767 7층 (동천동, 분당수지유타워 지식산업센터) "
"086820","바이오솔루션","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"8143426","500","4071713000","원(KRW)","장송선","02-3446-8884","서울특별시 서초구 논현로 121 두일빌딩 1층,3~8층(양재동) "
"038460","바이오스마트","KOSDAQ","우량기업부",,"032602","전자부품 제조업","12",,"20087800","500","10043900000","원(KRW)","윤호권","02-3218-9000","서울특별시 성동구 광나루로 172- "
"251120","바이오에프디엔씨","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"8695700","500","4347850000","원(KRW)","모상현, 정대현","032-811-2027","인천광역시 연수구 송도미래로 30 A동 509호, 510호, 511호"
"086040","바이오톡스텍","KOSDAQ","벤처기업부",,"137001","자연과학 및 공학 연구개발업","12",,"14667123","500","7333561500","원(KRW)","강종구","043-210-7777","충청북도 청주시 청원구 오창읍 연구단지로 53 "
"099430","바이오플러스","KOSDAQ","중견기업부",,"032101","기초 의약물질 및 생물학적 제제 제조업","12",,"14363528","500","7181764000","원(KRW)","정현규","070-7706-4437","경기도 성남시 중원구 사기막골로45번길 14, 18층 제에이-1801,1802호(상대원동, 성남 우림라이온스밸리2차)"
"032980","바이온","KOSDAQ","중견기업부",,"074603","음·식료품 및 담배 도매업","12",,"66900777","500","33450388500","원(KRW)","김병준","02-516-0720","충청북도 청주시 청원구 오창읍 화산여천길 63-32 2층(여천리) "
"222160","바이옵트로","KOSDAQ","기술성장기업부","신속이전기업","032902","특수 목적용 기계 제조업","03",,"8143866","500","4150086500","원(KRW)","김완수","031-8005-5155","경기도 용인시 기흥구 탑실로58번길 14 &nbsp"
"308080","바이젠셀","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"9503030","500","4751515000","원(KRW)","김태규","02-3478-1686","서울특별시 서초구 반포대로 222, 서울성모병원 별관 7층 &nbsp"
"043150","바텍","KOSDAQ","우량기업부",,"032701","의료용 기기 제조업","12",,"14854256","500","7427128000","원(KRW)","현정훈, 김선범 (각자 대표)","031-679-2000","경기도 화성시  삼성1로2길 13(석우동) "
"323990","박셀바이오","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"15223000","500","7611500000","원(KRW)","이제중 (단독 대표이사)","061-373-0046","전라남도 화순군 화순읍 산단길 12-55 "
"267790","배럴","KOSDAQ","중견기업부",,"031401","봉제의복 제조업","12",,"7885500","500","3942750000","원(KRW)","이상훈","02-335-3176","서울특별시 강남구 논현로 709, 4층(논현동, 로얄빌딩) "
"046310","백금T&A","KOSDAQ","중견기업부",,"032604","통신 및 방송 장비 제조업","12",,"16418641","500","8209320500","원(KRW)","임학규","031-488-7900","경기도 군포시 엘에스로 153-18(산본동) L&C타워 4,5,6층 "
"066410","버킷스튜디오","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"63035114","500","31517557000","원(KRW)","강지연","(02)3452-5079","서울특별시 강남구 선릉로 803 4층, 5층(신사동)"
"206400","베노홀딩스","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"28715949","500","14357974500","원(KRW)","정집훈","02-3461-2150","서울특별시 강남구 언주로134길 4 IB타워 6층 "
"019010","베뉴지","KOSDAQ","중견기업부",,"074701","종합 소매업","12",,"48200000","500","24100000000","원(KRW)","김만진.이만섭(각자 대표이사)","02-3665-0101","서울특별시 강남구 선릉로62길 15 "
"177350","베셀","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","12",,"11821884","500","5910942000","원(KRW)","서기만","031-683-3953","경기도 수원시 권선구 산업로155번길 281 -"
"299910","베스파","KOSDAQ","관리종목(소속부없음)",,"105802","소프트웨어 개발 및 공급업","12",,"8206916","500","4103458000","원(KRW)","김진수","02-6954-0889","서울특별시 강남구 테헤란로83길 15, 제이엠빌딩 9층 &nbsp"
"225530","보광산업","KOSDAQ","벤처기업부",,"032309","기타 비금속 광물제품 제조업","12",,"36338727","500","18169363500","원(KRW)","김윤수","053-384-0881","대구광역시 북구 유통단지로3길 40 &nbsp"
"250000","보라티알","KOSDAQ","중견기업부",,"074603","음·식료품 및 담배 도매업","12",,"6750733","500","3375366500","원(KRW)","박성칠","02-538-3373","서울특별시 강남구 학동로 506, 4층 (삼성동, 보라빌딩) &nbsp"
"006910","보성파워텍","KOSDAQ","중견기업부",,"032501","구조용 금속제품, 탱크 및 증기발생기 제조업","12",,"49129824","500","24564912000","원(KRW)","임재황","031 -491 -0311","충청북도 충주시 주덕읍 대창길 70 -"
"226340","본느","KOSDAQ","중견기업부",,"032004","기타 화학제품 제조업","12",,"30699596","100","3069959600","원(KRW)","임성기","02-3787-2429","서울특별시 강남구 선릉로90길 14 프레티늄 빌딩"
"014470","부방","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"60052260","500","30026130000","원(KRW)","박규원","02-2008-7272","서울특별시 강남구  삼성로 528 부방빌딩 "
"008470","부스타","KOSDAQ","우량기업부",,"032501","구조용 금속제품, 탱크 및 증기발생기 제조업","12",,"8404800","500","4202400000","원(KRW)","유승협","043-536-9107","충청북도 진천군  이월면 고등2길 18 (주)부스타보일러 "
"338220","뷰노","KOSDAQ","기술성장기업부","기술성장기업","106301","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","12",,"11248656","100","1124865600","원(KRW)","김현준","02-515-6646","서울특별시 서초구 강남대로 479 9층"
"100120","뷰웍스","KOSDAQ","우량기업부",,"032701","의료용 기기 제조업","12",,"10001865","500","5000932500","원(KRW)","김후식","070-7011-6161","경기도 안양시 동안구 부림로 17041-3 "
"337930","브랜드엑스코퍼레이션","KOSDAQ","우량기업부",,"106309","기타 정보 서비스업","12",,"29572416","500","14786208000","원(KRW)","강민준, 이수연","02-6959-2362","서울특별시 성동구 뚝섬로1길 63, 12층(성수동1가, 영창디지털타워) "
"099390","브레인즈컴퍼니","KOSDAQ","벤처기업부",,"105802","소프트웨어 개발 및 공급업","12",,"4123796","500","2061898000","원(KRW)","강선근","02-2205-6001","서울특별시 성동구 성수이로 87 "
"064480","브리지텍","KOSDAQ","벤처기업부",,"105802","소프트웨어 개발 및 공급업","12",,"11952500","500","6176250000","원(KRW)","신경식","02-3430-4114","서울특별시 영등포구 국제금융로2길 32 여의도파이낸스타워 17,18층 "
"288330","브릿지바이오테라퓨틱스","KOSDAQ","기술성장기업부","기술성장기업","032101","기초 의약물질 및 생물학적 제제 제조업","12",,"19806425","500","9903212500","원(KRW)","이정규","031-8092-3280","경기도 성남시 분당구 판교로 255번길 58, 303호 (삼평동, 씨즈타워) "
"365900","브이씨","KOSDAQ","벤처기업부",,"033303","운동 및 경기용구 제조업","12",,"7235300","500","3617650000","원(KRW)","김준오","02-583-3100","서울특별시 강남구 테헤란로108길 23 대치동, 보이스캐디 사옥"
"251630","브이원텍","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","12",,"15050580","500","7525290000","원(KRW)","김선중","031-607-5540","경기도 성남시 분당구 대왕판교로 660, A-710 (삼평동, 유스페이스1) &nbsp"
"018290","브이티지엠피","KOSDAQ","우량기업부",,"032603","컴퓨터 및 주변장치 제조업","12",,"34483893","500","17241946500","원(KRW)","강승곤, 정철, 김양평","031-943-5000","경기도 파주시  산업단지길 139 (주)G.M.P "
"044480","블루베리 NFT","KOSDAQ","중견기업부",,"032201","고무제품 제조업","12",,"32343981","500","16171990500","원(KRW)","홍상혁","02-2203-3835","충청북도 증평군  증평읍 광장로 473-3 (주)유니더스"
"033560","블루콤","KOSDAQ","벤처기업부",,"032605","영상 및 음향기기 제조업","12",,"17100000","500","9600000000","원(KRW)","김종규","032-810-0500","인천광역시 연수구  벤처로 116 (주)블루콤 "
"369370","블리츠웨이","KOSDAQ","벤처기업부",,"033304","인형,장난감 및 오락용품 제조업","12",,"39219171","100","3921917100","원(KRW)","배성웅","02-769-2239","서울특별시 영등포구 국회대로 638 블리츠웨이빌딩"
"126340","비나텍","KOSDAQ","벤처기업부",,"032802","일차전지 및 축전지 제조업","12",,"5468262","500","2734131000","원(KRW)","성도경","063-715-3020","전라북도 전주시 덕진구 운암로 15 &nbsp"
"121800","비덴트","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"51320997","500","25660498500","원(KRW)","김영만","070-8668-6611","서울특별시 금천구  가산디지털1로 84 (가산동, 에이스하이엔드 8차 12층)"
"148140","비디아이","KOSDAQ","관리종목(소속부없음)",,"032901","일반 목적용 기계 제조업","12",,"43208667","500","21604333500","원(KRW)","안승만","02-2082-8890","경기도 화성시 팔탄면 서해로 1155 &nbsp"
"082800","비보존 헬스케어","KOSDAQ","중견기업부",,"032601","반도체 제조업","12",,"234042627","500","117021313500","원(KRW)","한재관,오동훈(각자대표)","031-213-9200","경기도 용인시 처인구 남사면 삼인로 15 - "
"318410","비비씨","KOSDAQ","중견기업부",,"033309","그외 기타 제품 제조업","12",,"5555243","500","2777621500","원(KRW)","강기태","042-932-9773","대전광역시 대덕구 문평동로 25 - "
"146320","비씨엔씨","KOSDAQ","벤처기업부",,"032601","반도체 제조업","12",,"12367923","500","6183961500","원(KRW)","김돈한","031-638-8434","경기도 이천시 신둔면 마소로57번길 25 "
"200780","비씨월드제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"8892384","200","1778476800","원(KRW)","홍성한","031-881-6800","경기도 여주시 가남읍 여주남로 872-23 "
"141000","비아트론","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"12114710","500","6057355000","원(KRW)","김 형 준","070-4016-3200","경기도 수원시 권선구 산업로155번길 139 (고색동)"
"090460","비에이치","KOSDAQ","우량기업부",,"032602","전자부품 제조업","12",,"33927456","500","16963728000","원(KRW)","이경환","032-510-2000","인천광역시 부평구  평천로199번길 25 "
"083650","비에이치아이","KOSDAQ","중견기업부",,"032901","일반 목적용 기계 제조업","12",,"26000000","500","13000000000","원(KRW)","우종인, 조원래 (각자 대표이사)","055-585-3800","경상남도 함안군  군북면 장백로 122 "
"086670","비엠티","KOSDAQ","우량기업부",,"032901","일반 목적용 기계 제조업","12",,"8146529","500","4073264500","원(KRW)","윤종찬","055-783-1000","경상남도 양산시  산막공단남11길 35 (주)BMT "
"335890","비올","KOSDAQ","벤처기업부",,"032701","의료용 기기 제조업","12",,"57223739","100","5722373900","원(KRW)","이상진","031-8017-7893","경기도 성남시 분당구 판교로 744 분당테크노파크 C동 808호,809호"
"138580","비즈니스온","KOSDAQ","벤처기업부",,"105802","소프트웨어 개발 및 공급업","12",,"22556163","500","11278081500","원(KRW)","라민상, 강민철, 이병두(공동대표이사)","02-559-0800","서울특별시 성동구 광나루로 172 3층 "
"082920","비츠로셀","KOSDAQ","우량기업부",,"032802","일차전지 및 축전지 제조업","12",,"21539152","500","10769576000","원(KRW)","장승국","041-330-0236","충청남도 당진시 합덕읍 인더스파크로 70 - "
"054220","비츠로시스","KOSDAQ","관리종목(소속부없음)",,"032801","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","03",,"25160874","500","12580437000","원(KRW)","이기재","(02)460-2000","서울특별시 구로구 디지털로31길 20 8층 802호(구로동, 에이스테크노타워5차) "
"042370","비츠로테크","KOSDAQ","우량기업부",,"116409","기타 금융업","12",,"26200025","500","13100012500","원(KRW)","장순상, 유병언, 장범수(각자대표)","02  -4602-021","경기도 안산시 단원구  별망로 327 비츠로테크"
"050090","비케이홀딩스","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"79138942","500","39569471000","원(KRW)","홍석규, 고승범 각자대표","054-470-0885","경상북도 구미시  산호대로 422 "
"307870","비투엔","KOSDAQ","벤처기업부",,"105802","소프트웨어 개발 및 공급업","12",,"30181200","100","3018120000","원(KRW)","조광원","02-2636-0090","서울특별시 영등포구 선유로 146 이앤씨드림타워 2층"
"357880","비트나인","KOSDAQ","기술성장기업부","기술성장기업","105802","소프트웨어 개발 및 공급업","12",,"10353956","500","5176978000","원(KRW)","강철순","070-4800-3517","서울특별시 강서구 양천로 401 12층 A1201, A1202 &nbsp"
"032850","비트컴퓨터","KOSDAQ","벤처기업부",,"105802","소프트웨어 개발 및 공급업","12",,"16623293","500","8311646500","원(KRW)","전 진 옥, 조 현 정","02  -3486-1234","서울특별시 서초구 서초대로74길 33 "
"238200","비피도","KOSDAQ","기술성장기업부","기술성장기업","031007","기타 식품 제조업","12",,"8180000","500","4090000000","원(KRW)","신용철","033-435-4962","강원도 홍천군 홍천읍 농공단지길 23-16 "
"093190","빅솔론","KOSDAQ","우량기업부",,"032603","컴퓨터 및 주변장치 제조업","12",,"19238905","500","9619452500","원(KRW)","노현철 단독 대표이사 ","031-218-5500","경기도 성남시 분당구  판교역로241번길 20 삼평동, 미래에셋벤처타워 7층,8층"
"065450","빅텍","KOSDAQ","벤처기업부",,"032702","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","12",,"28652800","200","5730560000","원(KRW)","임만규","(031)631-7301","경기도 이천시  마장면 덕이로 180-31 "
"072950","빛샘전자","KOSDAQ","벤처기업부",,"032602","전자부품 제조업","12",,"6230859","500","3115429500","원(KRW)","강만준, 강명구 (각자대표)","031-288 -3420","경기도 용인시 기흥구  언동로 53-11 빛샘전자 (청덕동)"
"143240","사람인에이치알","KOSDAQ","우량기업부",,"106301","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","12",,"11659263","500","5829631500","원(KRW)","김용환","02-2025-4733","서울특별시 구로구  디지털로34길 43 코오롱싸이언스밸리1차 201호"
"100090","삼강엠앤티","KOSDAQ","중견기업부",,"032401","1차 철강 제조업","12",,"37076672","500","18538336000","원(KRW)","송무석","055-391-7020","경상남도 고성군 동해면 내산리 159-13 "
"122350","삼기","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"38339428","100","3833942800","원(KRW)","김치환, 이동원(각자대표이사)","031-680-0826","경기도 평택시 포승읍 도곡리 1217 "
"014970","삼륭물산","KOSDAQ","중견기업부",,"031702","골판지, 종이 상자 및 종이용기 제조업","12",,"15125000","500","7562500000","원(KRW)","조홍로","02-499-0091","경기도 파주시 월롱면 통일로644번길 35 "
"018310","삼목에스폼","KOSDAQ","우량기업부",,"032501","구조용 금속제품, 탱크 및 증기발생기 제조업","12",,"14700000","500","7350000000","원(KRW)","엄석호","02-561-0941","경기도 안성시  미양면 안성맞춤대로 474-40 "
"053700","삼보모터스","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"18823896","500","9411948000","원(KRW)","이재하","053-582-9230","대구광역시 달서구  성서동로 142 "
"009620","삼보산업","KOSDAQ","중견기업부",,"032402","1차 비철금속 제조업","12",,"45255561","100","4525556100","원(KRW)","이태용,김태환","055 -552-7130 -","경상남도 창원시 진해구  남의로21번길 36 "
"023600","삼보판지","KOSDAQ","우량기업부",,"031701","펄프, 종이 및 판지 제조업","12",,"16170000","500","8085000000","원(KRW)","류진호","031-319-6523","경기도 시흥시 공단1대로28번길 120 (정왕동) "
"380320","삼성머스트스팩5호","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4810000","100","481000000","원(KRW)","임호원","02-2020-7676","서울특별시 서초구 서초대로74길 11 "
"377630","삼성스팩4호","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4020000","100","402000000","원(KRW)","김영도","02-2020-7676","서울특별시 서초구 서초대로74길 11 "
"009300","삼아제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"6370000","1000","6370000000","원(KRW)","허 준","02-2056-7200","강원도 원주시 문막읍 동화공단로 49 "
"225190","삼양옵틱스","KOSDAQ","중견기업부",,"032703","사진장비 및 광학기기 제조업","12",,"10119900","500","5059950000","원(KRW)","황충현","055-250-5600","경상남도 창원시 마산회원구 자유무역6길 123 "
"361670","삼영에스앤씨","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"5667658","500","2833829000","원(KRW)","박상익","031-741-1830","경기도 성남시 중원구 둔촌대로 446 &nbsp"
"054540","삼영엠텍","KOSDAQ","우량기업부",,"032501","구조용 금속제품, 탱크 및 증기발생기 제조업","12",,"13000000","500","7513150500","원(KRW)","강문식","055-589-7000","경상남도 함안군 칠서면 삼칠로 631-35 "
"065570","삼영이엔씨","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"10794010","500","5397005000","원(KRW)","황재우","(051)601-6666","부산광역시 영도구  상리로 69 "
"032280","삼일","KOSDAQ","중견기업부",,"084903","도로 화물 운송업","12",,"16213590","1000","16213590000","원(KRW)","강승엽,안인수(각자대표)","054-289-1061","경상북도 포항시 남구 대송면 송덕로 125-15(옥명리) "
"002290","삼일기업공사","KOSDAQ","중견기업부",,"064101","건물 건설업","12",,"12400000","500","6200000000","원(KRW)","박종웅","02  -564 -3131","서울특별시 강남구  언주로 329 "
"037460","삼지전자","KOSDAQ","우량기업부",,"032604","통신 및 방송 장비 제조업","12",,"16318522","500","8309261000","원(KRW)","각자대표이사 박두진, 이태훈","02-850-8031","경기도 화성시 금곡로 63-27 삼지전자"
"032750","삼진","KOSDAQ","우량기업부",,"032604","통신 및 방송 장비 제조업","12",,"7200000","500","3600000000","원(KRW)","김승철","031-467-5800","경기도 안양시 만안구  안양천서로 81 (주)삼진 "
"054090","삼진엘앤디","KOSDAQ","중견기업부",,"033309","그외 기타 제품 제조업","12",,"24959232","500","12479616000","원(KRW)","이경재,이명종","031-379-2000","경기도 화성시 동탄면 동탄기흥로 64-17 "
"000250","삼천당제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"22768041","500","11384020500","원(KRW)","전인석","02-2046-1100","경기도 화성시 향남읍 제약공단2길 71 "
"024950","삼천리자전거","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"13273577","500","6636788500","원(KRW)","신동호","02  -2194-3021","서울특별시 강남구 테헤란로 445 (삼성동) "
"038500","삼표시멘트","KOSDAQ","우량기업부",,"032309","기타 비금속 광물제품 제조업","12",,"107916306","500","53958153000","원(KRW)","이종석","02-3770-3000","강원도 삼척시  동양길 20 "
"017480","삼현철강","KOSDAQ","우량기업부",,"032401","1차 철강 제조업","12",,"15702890","500","8551445000","원(KRW)","조 윤 선","055 -252 -6060","경상남도 창원시 의창구 평산로70번길 36 -"
"046390","삼화네트웍스","KOSDAQ","중견기업부",,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"43172933","200","8634586600","원(KRW)","공동대표이사 안제현, 신상윤","02-3454-1500","서울특별시 강남구 선릉로91길 8 신아트스페이스빌딩 5층"
"027580","상보","KOSDAQ","중견기업부",,"032202","플라스틱제품 제조업","12",,"59181279","500","29590639500","원(KRW)","김상근","031-987-9900","경기도 김포시 통진읍 대서명로 50 "
"038540","상상인","KOSDAQ","우량기업부",,"106201","컴퓨터 프로그래밍, 시스템 통합 및 관리업","12",,"55328313","1000","57187237000","원(KRW)","유준원, 이민식(각자 대표이사)","02-2167-8500","경기도 성남시 분당구 황새울로 358 -"
"101000","상상인인더스트리","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","12",,"71750792","500","35875396000","원(KRW)","김동원","061-815-5000","전라남도 광양시 광양읍 율촌산단3로 116 -"
"091580","상신이디피","KOSDAQ","우량기업부",,"032802","일차전지 및 축전지 제조업","12",,"13544698","500","6887349000","원(KRW)","김일부","041-583-5027","충청남도 천안시 서북구 직산읍 4산단6길 57 -"
"263810","상신전자","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"14244718","500","7122359000","원(KRW)","김승천","055-343-3826","경상남도 김해시 진영읍 본산로269번길 16-34 &nbsp"
"089980","상아프론테크","KOSDAQ","우량기업부",,"032202","플라스틱제품 제조업","12",,"15989037","500","7994518500","원(KRW)","이상원","032-451-7700","인천광역시 남동구  남동대로369번길 18 "
"042940","상지카일룸","KOSDAQ","중견기업부",,"064101","건물 건설업","12",,"92522978","500","46261489000","원(KRW)","김영신","02-517-5174","서울특별시 강남구 영동대로 741 9층(청담동, 은성빌딩)"
"042600","새로닉스","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"12423574","500","6211787000","원(KRW)","허제홍","054-463-7945","경상북도 구미시  수출대로9길 36 (주)새로닉스 "
"252990","샘씨엔에스","KOSDAQ","기술성장기업부","기술성장기업","032602","전자부품 제조업","12",,"50153846","500","25076923000","원(KRW)","최유진, 김헌태","031-546-7000","경기도 성남시 분당구 판교로255번길 35(삼평동, 실리콘파크1F) &nbsp"
